total_bill;tip;sex;smoker;day;time;size
2571;4;Female;No;Sun;Dinner;3
1731;35;Female;No;Sun;Dinner;2
2993;507;Male;No;Sun;Dinner;4
1065;15;Female;No;Thur;Lunch;2
1243;18;Female;No;Thur;Lunch;2
2408;292;Female;No;Thur;Lunch;4
1169;231;Male;No;Thur;Lunch;2
1342;168;Female;No;Thur;Lunch;2
1426;25;Male;No;Thur;Lunch;2
1595;2;Male;No;Thur;Lunch;2
1248;252;Female;No;Thur;Lunch;2
298;42;Female;No;Thur;Lunch;6
852;148;Male;No;Thur;Lunch;2
1452;2;Female;No;Thur;Lunch;2
1138;2;Female;No;Thur;Lunch;2
2282;218;Male;No;Thur;Lunch;3
1908;15;Male;No;Thur;Lunch;2
2027;283;Female;No;Thur;Lunch;2
1117;15;Female;No;Thur;Lunch;2
1226;2;Female;No;Thur;Lunch;2
1826;325;Female;No;Thur;Lunch;2
851;125;Female;No;Thur;Lunch;2
1033;2;Female;No;Thur;Lunch;2
1415;2;Female;No;Thur;Lunch;2
16;2;Male;Yes;Thur;Lunch;2
1316;275;Female;No;Thur;Lunch;2
1747;35;Female;No;Thur;Lunch;2
343;67;Male;No;Thur;Lunch;6
4119;5;Male;No;Thur;Lunch;5
2705;5;Female;No;Thur;Lunch;6
1643;23;Female;No;Thur;Lunch;2
835;15;Female;No;Thur;Lunch;2
1864;136;Female;No;Thur;Lunch;3
1187;163;Female;No;Thur;Lunch;2
978;173;Male;No;Thur;Lunch;2
751;2;Male;No;Thur;Lunch;2
1407;25;Male;No;Sun;Dinner;2
1313;2;Male;No;Sun;Dinner;2
1726;274;Male;No;Sun;Dinner;3
2455;2;Male;No;Sun;Dinner;4
1977;2;Male;No;Sun;Dinner;4
2985;514;Female;No;Sun;Dinner;5
4817;5;Male;No;Sun;Dinner;6
25;375;Female;No;Sun;Dinner;4
1339;261;Female;No;Sun;Dinner;2
1649;2;Male;No;Sun;Dinner;4
215;35;Male;No;Sun;Dinner;4
1266;25;Male;No;Sun;Dinner;2
1621;2;Female;No;Sun;Dinner;3
1381;2;Male;No;Sun;Dinner;2
1751;3;Female;Yes;Sun;Dinner;2
2452;348;Male;No;Sun;Dinner;3
2076;224;Male;No;Sun;Dinner;2
3171;45;Male;No;Sun;Dinner;4
1059;161;Female;Yes;Sat;Dinner;2
1063;2;Female;Yes;Sat;Dinner;2
5081;10;Male;Yes;Sat;Dinner;3
1581;316;Male;Yes;Sat;Dinner;2
725;515;Male;Yes;Sun;Dinner;2
3185;318;Male;Yes;Sun;Dinner;2
1682;4;Male;Yes;Sun;Dinner;2
329;311;Male;Yes;Sun;Dinner;2
1789;2;Male;Yes;Sun;Dinner;2
1448;2;Male;Yes;Sun;Dinner;2
96;4;Female;Yes;Sun;Dinner;2
3463;355;Male;Yes;Sun;Dinner;2
3465;368;Male;Yes;Sun;Dinner;4
2333;565;Male;Yes;Sun;Dinner;2
4535;35;Male;Yes;Sun;Dinner;3
2317;65;Male;Yes;Sun;Dinner;4
4055;3;Male;Yes;Sun;Dinner;2
2069;5;Male;No;Sun;Dinner;5
209;35;Female;Yes;Sun;Dinner;3
3046;2;Male;Yes;Sun;Dinner;5
1815;35;Female;Yes;Sun;Dinner;3
231;4;Male;Yes;Sun;Dinner;3
1569;15;Male;Yes;Sun;Dinner;2
1981;419;Female;Yes;Thur;Lunch;2
2844;256;Male;Yes;Thur;Lunch;2
1548;202;Male;Yes;Thur;Lunch;2
1658;4;Male;Yes;Thur;Lunch;2
756;144;Male;No;Thur;Lunch;2
1034;2;Male;Yes;Thur;Lunch;2
4311;5;Female;Yes;Thur;Lunch;4
13;2;Female;Yes;Thur;Lunch;2
1351;2;Male;Yes;Thur;Lunch;2
1871;4;Male;Yes;Thur;Lunch;3
1274;201;Female;Yes;Thur;Lunch;2
13;2;Female;Yes;Thur;Lunch;2
164;25;Female;Yes;Thur;Lunch;2
2053;4;Male;Yes;Thur;Lunch;4
1647;323;Female;Yes;Thur;Lunch;3
2659;341;Male;Yes;Sat;Dinner;3
3873;3;Male;Yes;Sat;Dinner;4
2427;203;Male;Yes;Sat;Dinner;2
1276;223;Female;Yes;Sat;Dinner;2
3006;2;Male;Yes;Sat;Dinner;3
2589;516;Male;Yes;Sat;Dinner;4
4833;9;Male;No;Sat;Dinner;4
1327;25;Female;Yes;Sat;Dinner;2
2817;65;Female;Yes;Sat;Dinner;3
129;11;Female;Yes;Sat;Dinner;2
2815;3;Male;Yes;Sat;Dinner;5
1159;15;Male;Yes;Sat;Dinner;2
774;144;Male;Yes;Sat;Dinner;2
3014;309;Female;Yes;Sat;Dinner;4
1216;22;Male;Yes;Fri;Lunch;2
1342;348;Female;Yes;Fri;Lunch;2
858;192;Male;Yes;Fri;Lunch;1
1598;3;Female;No;Fri;Lunch;3
1342;158;Male;Yes;Fri;Lunch;2
1627;25;Female;Yes;Fri;Lunch;2
1009;2;Female;Yes;Fri;Lunch;2
2045;3;Male;No;Sat;Dinner;4
1328;272;Male;No;Sat;Dinner;2
2212;288;Female;Yes;Sat;Dinner;2
2401;2;Male;Yes;Sat;Dinner;4
1569;3;Male;Yes;Sat;Dinner;3
1161;339;Male;No;Sat;Dinner;2
1077;147;Male;No;Sat;Dinner;2
1553;3;Male;Yes;Sat;Dinner;2
1007;125;Male;No;Sat;Dinner;2
126;1;Male;Yes;Sat;Dinner;2
3283;117;Male;Yes;Sat;Dinner;2
3583;467;Female;No;Sat;Dinner;3
2903;592;Male;No;Sat;Dinner;3
2718;2;Female;Yes;Sat;Dinner;2
2267;2;Male;Yes;Sat;Dinner;2
1782;175;Male;No;Sat;Dinner;2
1878;3;Female;No;Thur;Dinner;2
